M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
16,14336,8192,288.7658,16,16,128,1,896,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3758096384.0,25845.183098591548,29360128.0,28672.0,229632.0,571437.8356933594,86718.3563492926,3584.0,1266464.2333984375,28672.0,192191.85331370533,0.03572943320404,0.3269896,8.151824
4,152064,3584,368.5832,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0239107879960301,0.2186209,8.1431875
8,18432,7168,313.6748,16,16,128,1,1152,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,33030144.0,32256.0,258272.0,642708.3015441896,97533.98189731612,4032.0,1424772.2625732422,32256.0,216215.83497791848,0.0370036679964412,0.337774,8.12812
3,152064,3584,367.444,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0239849194818757,0.2186209,8.114928
5,53248,16384,2445.2145,16,16,128,1,3328,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,27917287424.0,588079.0239298955,310378496.0,601508.7131782946,1704448.0,4740480.766893956,1021249.1819371728,37888.0,9694560.847405843,303104.0,2088514.397905759,0.0954373090931993,0.8614797,8.026655
4,151936,3584,362.8088,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0242913478231464,0.2186209,7.999946
6,151936,3584,362.5736,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0243071055203643,0.2186209,7.994112
7,151936,3584,362.1318,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0243367601356698,0.2186209,7.9831524
3,151936,3584,361.1786,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0244009881928175,0.2186209,7.9595065
8,4608,16384,181.9104,16,16,128,1,288,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,2415919104.0,16614.76056338028,25165824.0,24576.0,147968.0,368217.4682617188,55878.71791515176,3072.0,1085540.771484375,24576.0,164735.87426889027,0.0364610211810715,0.32609388,7.9436274
