attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[657,141,41,49,52,657,123,61,384,159,4641,108,16641,429,1305,2721]",24,8,128,164.78499999999997,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1963720704,27009.802816901407,20545536,40128.0,21328256,9387.43661971831,207904,12994.0,59232.0,162777.2983584506,24907.953320762128,616.0,240384.51921276323,4928.0,36783.30113576623,0.0658270495993779,0.17403099,1.6437609
fa2_paged,6,"[1,1,1,1,1,1]","[16,61,60,153,13953,19713]",128,8,128,205.88306666666668,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2413559808,33197.07042253521,19464192,38016.0,25162112,11074.87323943662,198688,12418.0,72544.0,199360.4188971408,30505.85098766491,584.0,227897.0117211912,4672.0,34872.48029754461,0.0647559656656183,0.1691172,1.6116077
fa2_ragged,4,"[9,29,103,213]","[28,195,320,225]",14,2,64,43.16600000000001,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,289800192,1310.2222222222222,4325376,2112.0,1905408,1102.6666666666667,25728,1608.0,2320.0,1529.9647990368628,964.3460351864372,32.0,2279.119976496293,256.0,1436.5430593122103,0.0215270263308465,0.053367764,1.4791046
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[11,9345,480,4608,61,58,6144,1905,19713,1545,3681,8097,1041,6561,2025,6465]",20,4,128,213.6456,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2551971840,35100.84507042253,20545536,40128.0,26407360,11622.957746478873,207904,12994.0,76656.0,210660.7337750775,32235.00928140772,616.0,240384.51921276323,4928.0,36783.30113576623,0.0659818172144923,0.16192448,1.454077
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[126,453,261,219,81,1449,14337,10113,19329,135,122,18561,3009,1641,4641,4641]",24,8,128,214.3858,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,5449973760,68233.84615384616,126517248,123552.0,17975680,14403.589743589744,392224,24514.0,161888.0,70232.66045452758,32051.14268336996,3752.0,126964.37955858507,30016.0,57941.0408007037,0.1739212892312722,0.42603981,1.4496127
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[417,29,13,2913,75,159,1233,411,315,1017,15873,5985]",40,8,128,167.95526666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1959395328,26950.309859154928,17301504,33792.0,21291392,9371.211267605631,180256,11266.0,59104.0,162425.53758404017,24854.12738165729,520.0,202921.9967380469,4160.0,31050.83862110136,0.0644422638773168,0.15670685,1.4317403
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[13,90,201,5409,4833,2433,1737,1257,18945,11649,8193,8961]",64,8,128,168.82439999999997,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,4437835776,20064.0,51904512,25344.0,22453632,12994.0,253984,15874.0,132192.0,87176.33910098318,54947.77201869204,1544.0,109967.53886594612,12352.0,69313.20261181415,0.0842875036667836,0.20162787,1.3921442
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[126,453,261,219,81,1449,14337,10113,19329,135,122,18561,3009,1641,4641,4641]",24,8,128,220.3022666666667,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,5441323008,28264.85106382979,36765696,35904.0,52541312,17467.191489361703,346144,21634.0,162528.0,202397.9595729283,48723.42068171514,1096.0,256593.9085824149,8768.0,61770.0542960354,0.0548291961035527,0.13078104,1.3852443
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[44,123,1881,59,18561,18177,17793,87,256,1137,705,1185]",64,8,128,424.451,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,4096131072,47620.57142857143,78938112,77088.0,37665408,28024.85714285714,705568,44098.0,121888.0,290563.5599629038,83234.6221547068,2344.0,469371.9045554601,18752.0,134455.92809606483,0.0644789257162286,0.15362571,1.3825723
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[57,52,81,1401,92,1209,608,78,387,1449,453,5601,2001,1593,6945,6849]",16,8,128,170.72266666666664,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2063204352,28378.140845070426,20545536,40128.0,22176128,9760.61971830986,207904,12994.0,62176.0,170867.7961698917,26145.94992017332,616.0,240384.51921276323,4928.0,36783.30113576623,0.0667564766612499,0.15809351,1.3682121
