attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,1,[1],[231],10,2,128,9.382466666666668,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,31358976,431.32394366197184,540672,1056.0,1218464,536.2957746478874,21008,1313.0,1160.0,3187.8320180949945,487.7975731375619,20.0,7804.692182232573,160.0,1194.2630238885138,0.0184623589390983,0.038476653,1.084059
fa2_ragged,2,"[70,512]","[12033,896]",64,8,128,1392.2293333333334,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,43859312640,301629.2957746479,973209600,950400.0,98337792,43282.47887323944,2139648,133728.0,171712.0,427304.2678833008,64845.41529686512,3728.0,1317348.9570617678,29824.0,199913.8474200596,0.0864878318779081,0.179963,1.0807897
fa3_paged,4,"[17,24,34,327]","[19,26,447,633]",28,4,128,64.21266666666665,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,4404019200,8145.454545454545,50331648,12288.0,9046016,4283.151515151515,103424,6464.0,22176.0,11544.866660206588,4387.991768973214,256.0,17592.17776793385,2048.0,6686.4636479591845,0.0693176017861289,0.14413437,1.0793328
fa2_paged,12,"[9,13,27,30,41,47,47,49,261,513,681,1305]","[26,48,36,71,333,107,81,207,9345,19713,1497,1545]",12,4,128,1399.6735333333334,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,99933487104,451811.5555555556,1466302464,715968.0,111614976,64592.0,1628160,101760.0,379648.0,250365.5500106668,157806.91533037095,5552.0,395427.3159221068,44416.0,249240.22079066848,0.2289346191902695,0.47216713,1.062454
fa2_paged,6,"[1,1,1,1,1,1]","[63,17,249,48,63,88]",128,8,128,14.647466666666668,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,151388160,2082.2535211267605,1081344,2112.0,5882240,2589.0140845070423,42016,2626.0,5600.0,15389.533880458595,2354.884835836506,40.0,15609.384364465146,320.0,2388.5260477770275,0.0570915376056026,0.11732893,1.0551016
fa2_paged,2,"[1,1]","[375,201]",7,1,128,9.271666666666668,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,39469056,542.8732394366198,540672,1056.0,1533584,674.9929577464789,21008,1313.0,1460.0,4012.271333119562,613.9521179145177,20.0,7804.692182232573,160.0,1194.2630238885138,0.0235147993492555,0.04822459,1.0508183
fa2_ragged,8,"[21,36,46,53,77,110,1113,1953]","[33,128,108,72,13569,705,1161,2817]",32,8,64,1243.8779333333334,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,49845633024,579492.5714285715,934281216,912384.0,120867840,89931.42857142857,2155776,134736.0,198592.0,443887.710571289,126261.39322916666,3616.0,678920.7458496094,28928.0,193115.234375,0.2588198639376008,0.53040594,1.0493246
fa3_paged,1,[80],[736],8,2,128,61.14306666666666,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,402653184,744.7272727272727,50331648,12288.0,823296,389.8181818181818,102912,6432.0,1792.0,932.918517996492,354.58519345238096,224.0,15393.155546942116,1792.0,5850.655691964286,0.0066557798950228,0.013626115,1.0472591
fa2_paged,4,"[1,1,1,1]","[86,64,88,237]",3,1,128,9.230999999999998,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,32440320,446.1971830985916,540672,1056.0,1260480,554.7887323943662,21008,1313.0,1200.0,3297.7572600982703,504.6181791078228,20.0,7804.692182232573,160.0,1194.2630238885138,0.0194123774090443,0.03971022,1.0456129
fa2_ragged,12,"[17,27,66,94,111,119,119,147,147,417,459,777]","[213,36,1905,327,3873,20097,393,189,1425,1233,1329,8961]",10,2,128,1791.5751333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,59889156096,696256.0,1433862144,1400256.0,131006208,97474.85714285714,3088128,193008.0,228128.0,543824.5258533844,155783.5708429784,5368.0,1074909.7199887838,42944.0,307917.84215856483,0.2233493415887525,0.45662874,1.0444596
